Gender;Class;ParentEducation;Income;Continuity;WeeklyWork;Interest;ExamPreparation;Department;GPA
Male;3;High;Low;Low;LessTen;Moderate;Moderate;Engineering;2,68
Female;4+;High;Low;High;LessTen;Low;Moderate;Engineering;3,14
Male;3;High;Low;Low;LessTen;Low;Moderate;Engineering;2,68
Male;3;Degree;Moderate;Moderate;LessTen;Low;Moderate;Engineering;3
Male;4+;High;Moderate;High;MoreThirty;High;High;Paramedic;3,3
Male;3;Postgraduate;Moderate;Moderate;MoreThirty;Moderate;High;Paramedic;2,85
Male;3;Degree;High;Moderate;11-20Hours;High;Moderate;Other;3,7
Male;3;Degree;Low;Low;LessTen;Low;Low;Engineering;2,45
Female;4+;Primary;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;3
Male;4+;High;Moderate;Moderate;LessTen;Low;Moderate;Engineering;3,1
Female;Graduated;Degree;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;3,07
Female;4+;Degree;Moderate;Moderate;LessTen;Moderate;Moderate;Paramedic;2,71
Female;3;Degree;Moderate;High;11-20Hours;High;Moderate;Paramedic;3,14
Female;3;Degree;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;3,47
Male;4+;Degree;Low;Low;LessTen;Moderate;Low;Engineering;2,83
Male;Graduated;High;Moderate;Low;LessTen;Low;Moderate;Engineering;2,56
Female;3;High;Moderate;High;11-20Hours;Moderate;High;Paramedic;3,43
Male;4+;High;High;High;LessTen;High;Moderate;Engineering;3,51
Male;Graduated;Degree;Moderate;Low;LessTen;High;High;Engineering;3,01
Male;Graduated;Postgraduate;Moderate;Low;LessTen;Low;Low;Engineering;2,67
Male;4+;Degree;Moderate;Low;LessTen;Low;Low;Engineering;2,83
Female;3;High;Moderate;Moderate;LessTen;Low;Low;Paramedic;3,45
Female;3;Degree;Moderate;High;21-30Hours;High;High;Paramedic;3,55
Male;3;High;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;3
Male;4+;High;Moderate;Low;LessTen;Moderate;Low;Engineering;2,23
Female;3;Degree;Moderate;High;21-30Hours;High;High;Paramedic;3,74
Male;1;High;Moderate;Low;LessTen;Moderate;Low;Engineering;3,14
Male;4+;Degree;Moderate;Low;MoreThirty;Low;Moderate;Engineering;2,65
Female;3;Postgraduate;Moderate;High;11-20Hours;Moderate;Moderate;Engineering;2,99
Male;4+;High;Low;Moderate;LessTen;Moderate;Moderate;Engineering;3,14
Female;3;Primary;Moderate;High;21-30Hours;High;High;Paramedic;3,68
Male;4+;Degree;Moderate;High;LessTen;Moderate;Moderate;Paramedic;2,8
Female;3;Postgraduate;Moderate;High;LessTen;Moderate;Moderate;Paramedic;3,06
Male;4+;Primary;Moderate;Low;LessTen;Low;Low;Engineering;2
Male;3;High;Moderate;Moderate;11-20Hours;Moderate;High;Engineering;3
Female;3;Degree;Moderate;High;LessTen;Moderate;Moderate;Paramedic;3,1
Female;3;Degree;High;High;LessTen;Moderate;Moderate;Paramedic;2,84
Male;4+;Degree;Moderate;Low;LessTen;Low;Low;Engineering;2,89
Female;4+;High;Moderate;Moderate;11-20Hours;Low;Moderate;Engineering;2,72
Female;3;Degree;High;Low;LessTen;Low;Low;Paramedic;3,16
Female;1;Primary;Moderate;High;LessTen;Moderate;Moderate;Other;3,12
Male;2;Primary;Low;Low;LessTen;Low;Low;Engineering;3,02
Male;2;High;Low;Low;LessTen;Low;Low;Engineering;2,51
Male;2;Degree;Moderate;High;LessTen;Moderate;Low;Engineering;3,7
Male;3;Degree;Moderate;Moderate;21-30Hours;Low;Low;Engineering;2,61
Female;2;Degree;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;2,5
Female;2;Degree;Moderate;High;11-20Hours;Moderate;High;Engineering;2,8
Male;2;Primary;Moderate;Moderate;LessTen;Moderate;High;Engineering;3,2
Male;2;Primary;Moderate;High;21-30Hours;Moderate;Moderate;Engineering;2
Female;2;High;Moderate;Moderate;LessTen;Moderate;Moderate;Engineering;2,1
Female;3;High;Moderate;Moderate;LessTen;Moderate;High;Engineering;2,7
Male;4+;Primary;Moderate;Moderate;LessTen;Moderate;Moderate;Paramedic;3,7
Male;4+;High;Moderate;Low;LessTen;Low;Moderate;Engineering;3,18
Male;2;Degree;Moderate;Low;LessTen;Low;Moderate;Engineering;3
Male;2;Primary;Low;Low;11-20Hours;High;High;Engineering;3,12
Female;2;Degree;Moderate;Low;LessTen;High;Low;Other;2,98
Male;3;Primary;Moderate;High;11-20Hours;Moderate;High;Engineering;3,47
Male;4+;Degree;Low;Moderate;LessTen;Moderate;Low;Engineering;3,05
Male;4+;Degree;High;Low;LessTen;Moderate;Moderate;Engineering;2,65
Male;3;Primary;Low;Low;LessTen;Low;High;Engineering;3,2
Female;4+;Degree;Moderate;High;11-20Hours;Moderate;Moderate;Engineering;3
Male;3;Degree;Moderate;Low;21-30Hours;Moderate;Low;Engineering;3,07
Male;4+;Degree;Low;Moderate;11-20Hours;Moderate;Low;Engineering;3,29
Female;3;Degree;Moderate;Low;LessTen;Moderate;Moderate;Engineering;3,01
Female;4+;Degree;High;Low;LessTen;Low;Low;Engineering;2,5
Female;3;High;Moderate;Moderate;LessTen;Moderate;Low;Engineering;3,07
Female;2;Degree;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;2,84
Male;4+;Degree;High;High;11-20Hours;High;Moderate;Engineering;3,32
Female;Graduated;Primary;Moderate;High;21-30Hours;High;Moderate;Other;3
Male;1;Primary;Low;Moderate;LessTen;Low;Low;Engineering;2,05
